,prompt,chosen,rejected
2611,"Generate a single slightly challenging question that requires finding a total for a student learning basic mathematics in the context of a garden, with simple regrouping. Make all needed information explicit. Give only the question as plain text. Do not include the solution.","assistant

A farmer has 15 baskets of apples, and each basket contains 8 apples. How many apples does the farmer have in total?","assistant

A farmer has 18 baskets of apples, and each basket contains 24 apples. How many apples does the farmer have in total?"
2613,"Generate a single slightly challenging question that requires finding a total for a student learning basic mathematics in the context of a garden, with simple regrouping. Make all needed information explicit. Give only the question as plain text. Do not include the solution.","assistant

A farmer has 15 baskets of apples, and each basket contains 8 apples. How many apples does the farmer have in total?","assistant

A farmer has 18 baskets of apples, and each basket contains 24 apples. How many apples does the farmer have in total?"
2615,"Generate a single slightly challenging question that requires finding a total for a student learning basic mathematics in the context of a garden, with simple regrouping. Make all needed information explicit. Give only the question as plain text. Do not include the solution.","assistant

A farmer has 18 baskets of apples, and each basket contains 24 apples. How many apples does the farmer have in total?","assistant

A farmer has 15 baskets of apples, and each basket contains 8 apples. How many apples does the farmer have in total?"
2617,"Create one slightly challenging question comparing two quantities for a primary school student in the context of a fruit shop, using the words greater, less, or equal. Use familiar vocabulary. Return one question only, written as plain text.","assistant

What is the greater amount of apples in the fruit basket compared to the apples in the fruit salad?","assistant

In a fruit shop, the price of apples is 5 dollars per pound. If you buy 3 pounds of apples, how much will you pay in total?"
2618,"Create one slightly challenging question comparing two quantities for a primary school student in the context of a fruit shop, using the words greater, less, or equal. Use familiar vocabulary. Return one question only, written as plain text.","assistant

What is the greater amount of apples in the fruit basket compared to the apples in the fruit salad?","assistant

What is the bigger apple in the fruit bowl, the one that is 5 cm taller than the other?"
2619,"Create one slightly challenging question comparing two quantities for a primary school student in the context of a fruit shop, using the words greater, less, or equal. Use familiar vocabulary. Return one question only, written as plain text.","assistant

What is the greater amount of apples in the fruit basket compared to the apples in the fruit salad?","assistant

In a fruit shop, the price of apples is 5 dollars per pound. If you buy 3 pounds of apples, how much will you pay in total?"
2620,"Create one slightly challenging question comparing two quantities for a primary school student in the context of a fruit shop, using the words greater, less, or equal. Use familiar vocabulary. Return one question only, written as plain text.","assistant

What is the greater amount of apples in the fruit basket compared to the apples in the fruit salad?","assistant

What is the bigger apple in the fruit bowl, the one that is 5 cm taller than the other?"
2621,"Create one slightly challenging question comparing two quantities for a primary school student in the context of a fruit shop, using the words greater, less, or equal. Use familiar vocabulary. Return one question only, written as plain text.","assistant

In a fruit shop, the price of apples is 5 dollars per pound. If you buy 3 pounds of apples, how much will you pay in total?","assistant

What is the bigger apple in the fruit bowl, the one that is 5 cm taller than the other?"
2622,"Write one easy short multiplication fact problem for an elementary student in the context of a birthday party, using facts from 2 to 10. Avoid unnecessary details. Return one question only, written as plain text.","assistant

What is 3 x 9?","assistant

What is 3 x 6?"
2623,"Write one easy short multiplication fact problem for an elementary student in the context of a birthday party, using facts from 2 to 10. Avoid unnecessary details. Return one question only, written as plain text.","assistant

What is 3 x 9?","assistant

What is 4 x 9?"
2625,"Write one easy short multiplication fact problem for an elementary student in the context of a birthday party, using facts from 2 to 10. Avoid unnecessary details. Return one question only, written as plain text.","assistant

What is 3 x 6?","assistant

What is 4 x 9?"
2626,"Write one easy short multiplication fact problem for an elementary student in the context of a birthday party, using facts from 2 to 10. Avoid unnecessary details. Return one question only, written as plain text.","assistant

What is 3 x 6?","assistant

What is 3 x 9?"
2627,"Write one easy short multiplication fact problem for an elementary student in the context of a birthday party, using facts from 2 to 10. Avoid unnecessary details. Return one question only, written as plain text.","assistant

What is 4 x 9?","assistant

What is 3 x 9?"
2628,"Create a single moderate mixed-operation problem with addition and subtraction for a young math learner in the context of a book fair, using numbers up to 50. Make all needed information explicit. Use plain text only and provide no solution or explanation.","assistant

Problem:

Tom has 15 boxes of pencils in his book fair collection. He buys 25 more boxes of pencils from a friend. How many boxes of pencils does Tom have now?

A) 40
B) 45
C) 50
D) 55","assistant

Problem:

Tom has 15 boxes of pencils. He buys 25 more boxes of pencils. How many boxes of pencils does Tom have now?

A) 20
B) 25
C) 30
D) 35
E) 40

Answer: B) 25"
2629,"Create a single moderate mixed-operation problem with addition and subtraction for a young math learner in the context of a book fair, using numbers up to 50. Make all needed information explicit. Use plain text only and provide no solution or explanation.","assistant

Problem:

Tom has 15 boxes of pencils in his book fair collection. He buys 25 more boxes of pencils from a friend. How many boxes of pencils does Tom have now?

A) 40
B) 45
C) 50
D) 55","assistant

**Book Fair Problem**

Tom has 25 books in his bookshelf. He buys 18 more books from the book fair. Then, he gives 12 books to his friend. How many books does Tom have now?

1. 25
2. 17
3. 32
4. 33
5. 42"
2630,"Create a single moderate mixed-operation problem with addition and subtraction for a young math learner in the context of a book fair, using numbers up to 50. Make all needed information explicit. Use plain text only and provide no solution or explanation.","assistant

Problem:

Tom has 15 boxes of pencils in his book fair collection. He buys 25 more boxes of pencils from a friend. How many boxes of pencils does Tom have now?

A) 40
B) 45
C) 50
D) 55","assistant

Problem:

Tom has 15 boxes of pencils, and each box contains 8 pencils. How many pencils does Tom have in total?

A) 80
B) 90
C) 100
D) 110

Answer: B) 90"
2631,"Create a single moderate mixed-operation problem with addition and subtraction for a young math learner in the context of a book fair, using numbers up to 50. Make all needed information explicit. Use plain text only and provide no solution or explanation.","assistant

Problem:

Tom has 15 boxes of pencils. He buys 25 more boxes of pencils. How many boxes of pencils does Tom have now?

A) 20
B) 25
C) 30
D) 35
E) 40

Answer: B) 25","assistant

**Book Fair Problem**

Tom has 25 books in his bookshelf. He buys 18 more books from the book fair. Then, he gives 12 books to his friend. How many books does Tom have now?

1. 25
2. 17
3. 32
4. 33
5. 42"
2632,"Create a single moderate mixed-operation problem with addition and subtraction for a young math learner in the context of a book fair, using numbers up to 50. Make all needed information explicit. Use plain text only and provide no solution or explanation.","assistant

Problem:

Tom has 15 boxes of pencils. He buys 25 more boxes of pencils. How many boxes of pencils does Tom have now?

A) 20
B) 25
C) 30
D) 35
E) 40

Answer: B) 25","assistant

Problem:

Tom has 15 boxes of pencils, and each box contains 8 pencils. How many pencils does Tom have in total?

A) 80
B) 90
C) 100
D) 110

Answer: B) 90"
2633,"Create a single moderate mixed-operation problem with addition and subtraction for a young math learner in the context of a book fair, using numbers up to 50. Make all needed information explicit. Use plain text only and provide no solution or explanation.","assistant

**Book Fair Problem**

Tom has 25 books in his bookshelf. He buys 18 more books from the book fair. Then, he gives 12 books to his friend. How many books does Tom have now?

1. 25
2. 17
3. 32
4. 33
5. 42","assistant

Problem:

Tom has 15 boxes of pencils, and each box contains 8 pencils. How many pencils does Tom have in total?

A) 80
B) 90
C) 100
D) 110

Answer: B) 90"
2634,"Write one simple question asking when two schedules meet again for an upper elementary student in the context of a bakery, using a school schedule situation. Use one direct question at the end. Give only the question as plain text. Do not include the solution.","assistant

When do the morning and afternoon classes meet again for the bakery students?","assistant

When do the morning and afternoon classes meet again for the bakery's students?"
2635,"Write one simple question asking when two schedules meet again for an upper elementary student in the context of a bakery, using a school schedule situation. Use one direct question at the end. Give only the question as plain text. Do not include the solution.","assistant

When do the morning and afternoon classes meet again for the bakery students?","assistant

When will the bakery be open again for the summer break?"
2636,"Write one simple question asking when two schedules meet again for an upper elementary student in the context of a bakery, using a school schedule situation. Use one direct question at the end. Give only the question as plain text. Do not include the solution.","assistant

When do the morning and afternoon classes meet again for the bakery students?","assistant

When do the morning and afternoon classes meet again for Mrs. Thompson's 5th-grade baking class?"
2637,"Write one simple question asking when two schedules meet again for an upper elementary student in the context of a bakery, using a school schedule situation. Use one direct question at the end. Give only the question as plain text. Do not include the solution.","assistant

When do the morning and afternoon classes meet again for the bakery's students?","assistant

When will the bakery be open again for the summer break?"
2638,"Write one simple question asking when two schedules meet again for an upper elementary student in the context of a bakery, using a school schedule situation. Use one direct question at the end. Give only the question as plain text. Do not include the solution.","assistant

When do the morning and afternoon classes meet again for the bakery's students?","assistant

When do the morning and afternoon classes meet again for Mrs. Thompson's 5th-grade baking class?"
2639,"Write one simple question asking when two schedules meet again for an upper elementary student in the context of a bakery, using a school schedule situation. Use one direct question at the end. Give only the question as plain text. Do not include the solution.","assistant

When will the bakery be open again for the summer break?","assistant

When do the morning and afternoon classes meet again for Mrs. Thompson's 5th-grade baking class?"
2641,"Create one slightly challenging question comparing two whole numbers for a primary school student in the context of a school cafeteria, using the words greater, less, or equal. Use familiar vocabulary. Use plain text only and provide no solution or explanation.","assistant

What is the largest whole number that is less than 25 and greater than 10?","assistant

What is the largest whole number less than 25 that is greater than 10?"
2642,"Create one slightly challenging question comparing two whole numbers for a primary school student in the context of a school cafeteria, using the words greater, less, or equal. Use familiar vocabulary. Use plain text only and provide no solution or explanation.","assistant

What is the largest whole number that is less than 25 and greater than 10?","assistant

What is the largest number between 5 and 15?"
2643,"Create one slightly challenging question comparing two whole numbers for a primary school student in the context of a school cafeteria, using the words greater, less, or equal. Use familiar vocabulary. Use plain text only and provide no solution or explanation.","assistant

What is the largest whole number that is less than 25 and greater than 10?","assistant

What is the largest whole number less than 25 that is greater than 10?"
2644,"Create one slightly challenging question comparing two whole numbers for a primary school student in the context of a school cafeteria, using the words greater, less, or equal. Use familiar vocabulary. Use plain text only and provide no solution or explanation.","assistant

What is the largest whole number that is less than 25 and greater than 10?","assistant

What is the largest number between 5 and 15?"
2645,"Create one slightly challenging question comparing two whole numbers for a primary school student in the context of a school cafeteria, using the words greater, less, or equal. Use familiar vocabulary. Use plain text only and provide no solution or explanation.","assistant

What is the largest whole number less than 25 that is greater than 10?","assistant

What is the largest number between 5 and 15?"
2646,"Generate a single basic question about two repeating events for an upper elementary student in the context of a fruit shop, using a school schedule situation. Avoid unnecessary details. Output only the question in text form, without hints or an answer.","assistant

What is the most likely time for the fruit shop to restock apples on a Monday morning?","assistant

What is the most likely time for the fruit shop to restock apples on the shelves?"
2647,"Generate a single basic question about two repeating events for an upper elementary student in the context of a fruit shop, using a school schedule situation. Avoid unnecessary details. Output only the question in text form, without hints or an answer.","assistant

What is the most likely time for the fruit shop to restock apples on a Monday morning?","assistant

What is the most likely time for the fruit shop to receive a shipment of apples?"
2648,"Generate a single basic question about two repeating events for an upper elementary student in the context of a fruit shop, using a school schedule situation. Avoid unnecessary details. Output only the question in text form, without hints or an answer.","assistant

What is the most likely time for the fruit shop to restock apples on a Monday morning?","assistant

What is the best time to buy apples in the school cafeteria?"
2649,"Generate a single basic question about two repeating events for an upper elementary student in the context of a fruit shop, using a school schedule situation. Avoid unnecessary details. Output only the question in text form, without hints or an answer.","assistant

What is the most likely time for the fruit shop to restock apples on the shelves?","assistant

What is the most likely time for the fruit shop to receive a shipment of apples?"
2650,"Generate a single basic question about two repeating events for an upper elementary student in the context of a fruit shop, using a school schedule situation. Avoid unnecessary details. Output only the question in text form, without hints or an answer.","assistant

What is the most likely time for the fruit shop to restock apples on the shelves?","assistant

What is the best time to buy apples in the school cafeteria?"
2651,"Generate a single basic question about two repeating events for an upper elementary student in the context of a fruit shop, using a school schedule situation. Avoid unnecessary details. Output only the question in text form, without hints or an answer.","assistant

What is the most likely time for the fruit shop to receive a shipment of apples?","assistant

What is the best time to buy apples in the school cafeteria?"
2652,"Make a single basic challenging multi-step math word problem for an upper elementary student in the context of a toy store, without requiring a drawing. Make all needed information explicit. Return only the question in plain text, with no answer or explanation.","assistant

Maria is running a toy store and has 15 boxes of crayons in the back room. Each box of crayons contains 8 crayons. If Maria wants to put an equal number of crayons in each of 5 shelves, how many crayons will she need to put in each shelf?","assistant

Maria is the owner of a toy store. She has 15 boxes of crayons in the store, and each box contains 8 crayons. If Maria wants to put an equal number of crayons into 5 boxes to give as gifts to her friends, how many crayons will each box contain?"
2653,"Make a single basic challenging multi-step math word problem for an upper elementary student in the context of a toy store, without requiring a drawing. Make all needed information explicit. Return only the question in plain text, with no answer or explanation.","assistant

Maria is running a toy store and has 15 boxes of crayons in the back room. Each box of crayons contains 8 crayons. If Maria wants to put an equal number of crayons in each of 5 shelves, how many crayons will she need to put in each shelf?","assistant

Tom's Toy Store is having a sale on stuffed animals. A stuffed rabbit costs $15, a stuffed bear costs $20, and a stuffed fish costs $12. If Tom has 5 stuffed rabbits, 8 stuffed bears, and 10 stuffed fish, and he wants to buy 3 more stuffed animals, how much will he spend in total?"
2654,"Make a single basic challenging multi-step math word problem for an upper elementary student in the context of a toy store, without requiring a drawing. Make all needed information explicit. Return only the question in plain text, with no answer or explanation.","assistant

Maria is running a toy store and has 15 boxes of crayons in the back room. Each box of crayons contains 8 crayons. If Maria wants to put an equal number of crayons in each of 5 shelves, how many crayons will she need to put in each shelf?","assistant

Maria is planning to buy a new toy for her 8-year-old brother. She wants to buy a toy that costs $12.50. She also wants to buy a book that costs $8.50. If Maria has a $20 bill, how much money will she have left after buying both the toy and the book?"
2655,"Make a single basic challenging multi-step math word problem for an upper elementary student in the context of a toy store, without requiring a drawing. Make all needed information explicit. Return only the question in plain text, with no answer or explanation.","assistant

Maria is the owner of a toy store. She has 15 boxes of crayons in the store, and each box contains 8 crayons. If Maria wants to put an equal number of crayons into 5 boxes to give as gifts to her friends, how many crayons will each box contain?","assistant

Tom's Toy Store is having a sale on stuffed animals. A stuffed rabbit costs $15, a stuffed bear costs $20, and a stuffed fish costs $12. If Tom has 5 stuffed rabbits, 8 stuffed bears, and 10 stuffed fish, and he wants to buy 3 more stuffed animals, how much will he spend in total?"
2656,"Make a single basic challenging multi-step math word problem for an upper elementary student in the context of a toy store, without requiring a drawing. Make all needed information explicit. Return only the question in plain text, with no answer or explanation.","assistant

Maria is the owner of a toy store. She has 15 boxes of crayons in the store, and each box contains 8 crayons. If Maria wants to put an equal number of crayons into 5 boxes to give as gifts to her friends, how many crayons will each box contain?","assistant

Maria is planning to buy a new toy for her 8-year-old brother. She wants to buy a toy that costs $12.50. She also wants to buy a book that costs $8.50. If Maria has a $20 bill, how much money will she have left after buying both the toy and the book?"
2657,"Make a single basic challenging multi-step math word problem for an upper elementary student in the context of a toy store, without requiring a drawing. Make all needed information explicit. Return only the question in plain text, with no answer or explanation.","assistant

Tom's Toy Store is having a sale on stuffed animals. A stuffed rabbit costs $15, a stuffed bear costs $20, and a stuffed fish costs $12. If Tom has 5 stuffed rabbits, 8 stuffed bears, and 10 stuffed fish, and he wants to buy 3 more stuffed animals, how much will he spend in total?","assistant

Maria is planning to buy a new toy for her 8-year-old brother. She wants to buy a toy that costs $12.50. She also wants to buy a book that costs $8.50. If Maria has a $20 bill, how much money will she have left after buying both the toy and the book?"
2658,"Generate one moderate question about the greatest common factor for a primary school student learning advanced topics in the context of a fruit shop, with no remainder after grouping. Avoid unnecessary details. Use plain text only and provide no solution or explanation.","assistant

What is the greatest common factor of 24 and 36?","assistant

What is the greatest common factor of 12 and 18?"
2659,"Generate one moderate question about the greatest common factor for a primary school student learning advanced topics in the context of a fruit shop, with no remainder after grouping. Avoid unnecessary details. Use plain text only and provide no solution or explanation.","assistant

What is the greatest common factor of 24 and 36?","assistant

What is the greatest common factor of 48 and 24?"
2661,"Generate one moderate question about the greatest common factor for a primary school student learning advanced topics in the context of a fruit shop, with no remainder after grouping. Avoid unnecessary details. Use plain text only and provide no solution or explanation.","assistant

What is the greatest common factor of 12 and 18?","assistant

What is the greatest common factor of 48 and 24?"
2662,"Generate one moderate question about the greatest common factor for a primary school student learning advanced topics in the context of a fruit shop, with no remainder after grouping. Avoid unnecessary details. Use plain text only and provide no solution or explanation.","assistant

What is the greatest common factor of 12 and 18?","assistant

What is the greatest common factor of 24 and 36?"
2663,"Generate one moderate question about the greatest common factor for a primary school student learning advanced topics in the context of a fruit shop, with no remainder after grouping. Avoid unnecessary details. Use plain text only and provide no solution or explanation.","assistant

What is the greatest common factor of 48 and 24?","assistant

What is the greatest common factor of 24 and 36?"
2664,"Write a single basic question about two repeating events for a young learner ready for a challenge in the context of a bakery, using two small multiples. Make all needed information explicit. Return only the question in plain text, with no answer or explanation.","assistant

What is the ratio of the number of cupcakes sold on Fridays to the number of cupcakes sold on Saturdays in a bakery?","assistant

What is the time difference between the opening hours of the bakery on Monday and the closing hours on Friday?"
2665,"Write a single basic question about two repeating events for a young learner ready for a challenge in the context of a bakery, using two small multiples. Make all needed information explicit. Return only the question in plain text, with no answer or explanation.","assistant

What is the ratio of the number of cupcakes sold on Fridays to the number of cupcakes sold on Saturdays in a bakery?","assistant

What is the difference between a batch of 8 cupcakes and a batch of 16 cupcakes?"
2666,"Write a single basic question about two repeating events for a young learner ready for a challenge in the context of a bakery, using two small multiples. Make all needed information explicit. Return only the question in plain text, with no answer or explanation.","assistant

What is the ratio of the number of cupcakes sold on Fridays to the number of cupcakes sold on Saturdays in a bakery?","assistant

What is the difference between a batch and a batch in baking?"
2667,"Write a single basic question about two repeating events for a young learner ready for a challenge in the context of a bakery, using two small multiples. Make all needed information explicit. Return only the question in plain text, with no answer or explanation.","assistant

What is the time difference between the opening hours of the bakery on Monday and the closing hours on Friday?","assistant

What is the difference between a batch of 8 cupcakes and a batch of 16 cupcakes?"
2668,"Write a single basic question about two repeating events for a young learner ready for a challenge in the context of a bakery, using two small multiples. Make all needed information explicit. Return only the question in plain text, with no answer or explanation.","assistant

What is the time difference between the opening hours of the bakery on Monday and the closing hours on Friday?","assistant

What is the difference between a batch and a batch in baking?"
2669,"Write a single basic question about two repeating events for a young learner ready for a challenge in the context of a bakery, using two small multiples. Make all needed information explicit. Return only the question in plain text, with no answer or explanation.","assistant

What is the difference between a batch of 8 cupcakes and a batch of 16 cupcakes?","assistant

What is the difference between a batch and a batch in baking?"
2670,"Create one simple question asking when two schedules meet again for an upper elementary student in the context of a farm, using a school schedule situation. Keep the wording clear and age-appropriate. Output only the question in text form, without hints or an answer.","assistant

When does the school bus pick up the students from the farm?","assistant

""Hey Emma, when do you think the farmer will meet with you again to pick up your fresh eggs from the farm?"""
2671,"Create one simple question asking when two schedules meet again for an upper elementary student in the context of a farm, using a school schedule situation. Keep the wording clear and age-appropriate. Output only the question in text form, without hints or an answer.","assistant

When does the school bus pick up the students from the farm?","assistant

When do you think the farmer will meet the school bus again for pickup after school?"
2672,"Create one simple question asking when two schedules meet again for an upper elementary student in the context of a farm, using a school schedule situation. Keep the wording clear and age-appropriate. Output only the question in text form, without hints or an answer.","assistant

When does the school bus pick up the students from the farm?","assistant

When do the school buses meet again for pickup?"
2673,"Create one simple question asking when two schedules meet again for an upper elementary student in the context of a farm, using a school schedule situation. Keep the wording clear and age-appropriate. Output only the question in text form, without hints or an answer.","assistant

""Hey Emma, when do you think the farmer will meet with you again to pick up your fresh eggs from the farm?""","assistant

When do you think the farmer will meet the school bus again for pickup after school?"
2674,"Create one simple question asking when two schedules meet again for an upper elementary student in the context of a farm, using a school schedule situation. Keep the wording clear and age-appropriate. Output only the question in text form, without hints or an answer.","assistant

""Hey Emma, when do you think the farmer will meet with you again to pick up your fresh eggs from the farm?""","assistant

When do the school buses meet again for pickup?"
2675,"Create one simple question asking when two schedules meet again for an upper elementary student in the context of a farm, using a school schedule situation. Keep the wording clear and age-appropriate. Output only the question in text form, without hints or an answer.","assistant

When do you think the farmer will meet the school bus again for pickup after school?","assistant

When do the school buses meet again for pickup?"
2676,"Prepare a single moderate question requiring the GCD of two numbers for a primary school student learning advanced topics in the context of a bus trip, using two small whole numbers. Make all needed information explicit. Use plain text only and provide no solution or explanation.","assistant

What is the greatest common divisor (GCD) of 48 and 18?","assistant

What is the greatest common divisor (GCD) of 36 and 48?"
2677,"Prepare a single moderate question requiring the GCD of two numbers for a primary school student learning advanced topics in the context of a bus trip, using two small whole numbers. Make all needed information explicit. Use plain text only and provide no solution or explanation.","assistant

What is the greatest common divisor (GCD) of 48 and 18?","assistant

What is the greatest common divisor (GCD) of 24 and 36?"
2678,"Prepare a single moderate question requiring the GCD of two numbers for a primary school student learning advanced topics in the context of a bus trip, using two small whole numbers. Make all needed information explicit. Use plain text only and provide no solution or explanation.","assistant

What is the greatest common divisor (GCD) of 48 and 18?","assistant

What is the greatest common divisor (GCD) of 48 and 24?"
2679,"Prepare a single moderate question requiring the GCD of two numbers for a primary school student learning advanced topics in the context of a bus trip, using two small whole numbers. Make all needed information explicit. Use plain text only and provide no solution or explanation.","assistant

What is the greatest common divisor (GCD) of 36 and 48?","assistant

What is the greatest common divisor (GCD) of 24 and 36?"
2680,"Prepare a single moderate question requiring the GCD of two numbers for a primary school student learning advanced topics in the context of a bus trip, using two small whole numbers. Make all needed information explicit. Use plain text only and provide no solution or explanation.","assistant

What is the greatest common divisor (GCD) of 36 and 48?","assistant

What is the greatest common divisor (GCD) of 48 and 24?"
2681,"Prepare a single moderate question requiring the GCD of two numbers for a primary school student learning advanced topics in the context of a bus trip, using two small whole numbers. Make all needed information explicit. Use plain text only and provide no solution or explanation.","assistant

What is the greatest common divisor (GCD) of 24 and 36?","assistant

What is the greatest common divisor (GCD) of 48 and 24?"
2682,"Generate a single easy greater-than or less-than question for a student learning basic mathematics in the context of a toy store, with a short real-life situation. Make the situation realistic. Return one question only, written as plain text.","assistant

What is the price of the toy car if it costs $120 and you have a $20 discount coupon?","assistant

What is the price of the toy car that costs $120 and is on sale for 15% off?"
2683,"Generate a single easy greater-than or less-than question for a student learning basic mathematics in the context of a toy store, with a short real-life situation. Make the situation realistic. Return one question only, written as plain text.","assistant

What is the price of the toy car if it costs $120 and you have a $20 discount coupon?","assistant

What is the total cost of a toy that costs $15 and has a 20% discount?"
2684,"Generate a single easy greater-than or less-than question for a student learning basic mathematics in the context of a toy store, with a short real-life situation. Make the situation realistic. Return one question only, written as plain text.","assistant

What is the price of the toy car if it costs $120 and you have a $20 discount coupon?","assistant

What is the total cost of a toy that costs $15 and has a 20% discount?"
2685,"Generate a single easy greater-than or less-than question for a student learning basic mathematics in the context of a toy store, with a short real-life situation. Make the situation realistic. Return one question only, written as plain text.","assistant

What is the price of the toy car that costs $120 and is on sale for 15% off?","assistant

What is the total cost of a toy that costs $15 and has a 20% discount?"
2686,"Generate a single easy greater-than or less-than question for a student learning basic mathematics in the context of a toy store, with a short real-life situation. Make the situation realistic. Return one question only, written as plain text.","assistant

What is the price of the toy car that costs $120 and is on sale for 15% off?","assistant

What is the total cost of a toy that costs $15 and has a 20% discount?"
2689,"Write a single slightly challenging simple GCD word problem for an upper elementary student in the context of a bakery, with no remainder after grouping. Use one direct question at the end. Return one question only, written as plain text.","assistant

A bakery has 18 loaves of bread, 24 pastries, and 30 cakes. How many different types of baked goods does the bakery have in total?","assistant

Tom's Bakery has 18 boxes of cookies to package for a special order. Each box contains 3 rows of cookies, with 6 cookies in each row. How many cookies will Tom need to package in total?

A) 54
B) 60
C) 72
D) 90

Answer: B) 60"
2690,"Write a single slightly challenging simple GCD word problem for an upper elementary student in the context of a bakery, with no remainder after grouping. Use one direct question at the end. Return one question only, written as plain text.","assistant

A bakery has 18 loaves of bread, 24 pastries, and 30 cakes. How many different types of baked goods does the bakery have in total?","assistant

Tom's Bakery is having a sale on bread. They have 18 loaves of whole wheat bread, 24 loaves of white bread, and 15 loaves of whole grain bread. How many loaves of bread will Tom have in total after the sale?

A) 30 loaves
B) 35 loaves
C) 40 loaves
D) 45 loaves

Answer: A) 30 loaves"
2691,"Write a single slightly challenging simple GCD word problem for an upper elementary student in the context of a bakery, with no remainder after grouping. Use one direct question at the end. Return one question only, written as plain text.","assistant

A bakery has 18 loaves of bread, 24 pastries, and 30 cakes. How many different types of baked goods does the bakery have in total?","assistant

Tom's Bakery has 18 boxes of cookies to package for a special order. Each box contains 3 rows of cookies, with 6 cookies in each row. How many cookies will Tom need to package in total?

A) 54
B) 60
C) 72
D) 90

Answer: B) 60"
2692,"Write a single slightly challenging simple GCD word problem for an upper elementary student in the context of a bakery, with no remainder after grouping. Use one direct question at the end. Return one question only, written as plain text.","assistant

A bakery has 18 loaves of bread, 24 pastries, and 30 cakes. How many different types of baked goods does the bakery have in total?","assistant

Tom's Bakery is having a sale on bread. They have 18 loaves of whole wheat bread, 24 loaves of white bread, and 15 loaves of whole grain bread. How many loaves of bread will Tom have in total after the sale?

A) 30 loaves
B) 35 loaves
C) 40 loaves
D) 45 loaves

Answer: A) 30 loaves"
2693,"Write a single slightly challenging simple GCD word problem for an upper elementary student in the context of a bakery, with no remainder after grouping. Use one direct question at the end. Return one question only, written as plain text.","assistant

Tom's Bakery has 18 boxes of cookies to package for a special order. Each box contains 3 rows of cookies, with 6 cookies in each row. How many cookies will Tom need to package in total?

A) 54
B) 60
C) 72
D) 90

Answer: B) 60","assistant

Tom's Bakery is having a sale on bread. They have 18 loaves of whole wheat bread, 24 loaves of white bread, and 15 loaves of whole grain bread. How many loaves of bread will Tom have in total after the sale?

A) 30 loaves
B) 35 loaves
C) 40 loaves
D) 45 loaves

Answer: A) 30 loaves"
2694,"Prepare a single basic question about making equal groups for a primary school student learning advanced topics in the context of a book fair, asking for the largest possible group size. Use whole numbers only. Use plain text only and provide no solution or explanation.","assistant

What is the largest possible group size for a book fair with 20 students, where each group must have an equal number of students?","assistant

What is the largest possible group size for a book fair with 24 students, if each group must have an equal number of students?"
2695,"Prepare a single basic question about making equal groups for a primary school student learning advanced topics in the context of a book fair, asking for the largest possible group size. Use whole numbers only. Use plain text only and provide no solution or explanation.","assistant

What is the largest possible group size for a book fair with 20 students, where each group must have an equal number of students?","assistant

What is the largest possible group size for a primary school student to make equal groups for a book fair?"
2696,"Prepare a single basic question about making equal groups for a primary school student learning advanced topics in the context of a book fair, asking for the largest possible group size. Use whole numbers only. Use plain text only and provide no solution or explanation.","assistant

What is the largest possible group size for a book fair with 20 students, where each group must have an equal number of students?","assistant

What is the largest possible group size for a primary school book fair if the total number of books is 240 and the number of books in each group is a multiple of 5?"
2697,"Prepare a single basic question about making equal groups for a primary school student learning advanced topics in the context of a book fair, asking for the largest possible group size. Use whole numbers only. Use plain text only and provide no solution or explanation.","assistant

What is the largest possible group size for a book fair with 24 students, if each group must have an equal number of students?","assistant

What is the largest possible group size for a primary school student to make equal groups for a book fair?"
2698,"Prepare a single basic question about making equal groups for a primary school student learning advanced topics in the context of a book fair, asking for the largest possible group size. Use whole numbers only. Use plain text only and provide no solution or explanation.","assistant

What is the largest possible group size for a book fair with 24 students, if each group must have an equal number of students?","assistant

What is the largest possible group size for a primary school book fair if the total number of books is 240 and the number of books in each group is a multiple of 5?"
2699,"Prepare a single basic question about making equal groups for a primary school student learning advanced topics in the context of a book fair, asking for the largest possible group size. Use whole numbers only. Use plain text only and provide no solution or explanation.","assistant

What is the largest possible group size for a primary school student to make equal groups for a book fair?","assistant

What is the largest possible group size for a primary school book fair if the total number of books is 240 and the number of books in each group is a multiple of 5?"
2700,"Generate one simple question requiring the LCM of two numbers for a primary school student learning advanced topics in the context of a garden, using two repeating time intervals. Use one direct question at the end. Output only the question in text form, without hints or an answer.","assistant

What is the LCM of 12 and 18, and how will it be affected by the 3-hour time interval?","assistant

What is the least common multiple of 12 and 15?"
2701,"Generate one simple question requiring the LCM of two numbers for a primary school student learning advanced topics in the context of a garden, using two repeating time intervals. Use one direct question at the end. Output only the question in text form, without hints or an answer.","assistant

What is the LCM of 12 and 18, and how will it be affected by the 3-hour time interval?","assistant

What is the least common multiple of 12 and 18?"
2702,"Generate one simple question requiring the LCM of two numbers for a primary school student learning advanced topics in the context of a garden, using two repeating time intervals. Use one direct question at the end. Output only the question in text form, without hints or an answer.","assistant

What is the LCM of 12 and 18, and how will it be affected by the 3-hour time interval?","assistant

What is the LCM of 18 and 24?"
2703,"Generate one simple question requiring the LCM of two numbers for a primary school student learning advanced topics in the context of a garden, using two repeating time intervals. Use one direct question at the end. Output only the question in text form, without hints or an answer.","assistant

What is the least common multiple of 12 and 15?","assistant

What is the least common multiple of 12 and 18?"
