skill,prompt
division-multiplication,Generate a true-or-false question with a brief explanation that asks students to multiply to find a total and divide to share equally. Use recycling bins. Make the numbers easy to calculate mentally.
division-multiplication,Create a real-life classroom problem about books that uses both multiplication and division. Make it moderate. Add one short hint.
division-multiplication,Create a multiple-choice question with four options about animals on a farm that uses both multiplication and division. Make it moderate. Add one short hint.
division-multiplication,Create a simple challenge question about arrays or equal groups using water bottles. Include one multiplication and one division step. Make the numbers easy to calculate mentally.
division-multiplication,Create a true-or-false question with a brief explanation about pencils that uses both multiplication and division. Make it easy. Make the numbers easy to calculate mentally.
division-multiplication,Generate a simple challenge question that connects a multiplication fact with its related division fact using water bottles. Add one short hint.
division-multiplication,Create a short word problem about sports balls that uses both multiplication and division. Make it slightly challenging. Use simple vocabulary suitable for elementary students.
division-multiplication,Create a short word problem about pencils that uses both multiplication and division. Make it very easy. Add one short hint.
division-multiplication,Create a short word problem about classroom chairs that uses both multiplication and division. Make it very easy. Keep the question under 45 words.
division-multiplication,"Write a true-or-false question with a brief explanation where equal groups of garden plants are formed and then divided. Ask for a written answer, not a drawing."
division-multiplication,Generate a true-or-false question with a brief explanation that connects a multiplication fact with its related division fact using toy cars. Avoid decimals and negative numbers.
division-multiplication,Write a fill-in-the-blank question where students decide whether multiplication or division is needed in a situation with colored blocks. Make the numbers easy to calculate mentally.
division-multiplication,Create a multiple-choice question with four options about pencils that uses both multiplication and division. Make it slightly challenging. Include the correct answer.
division-multiplication,Create a question that asks students to explain their reasoning about fruit baskets that uses both multiplication and division. Make it slightly challenging. Use whole numbers only.
division-multiplication,"Create a true-or-false question with a brief explanation about arrays or equal groups using coins. Include one multiplication and one division step. Ask for a written answer, not a drawing."
division-multiplication,Write a short word problem where equal groups of sports balls are formed and then divided. Make the numbers easy to calculate mentally.
division-multiplication,"Write a fill-in-the-blank question where students decide whether multiplication or division is needed in a situation with colored blocks. Ask for a written answer, not a drawing."
division-multiplication,Generate a true-or-false question with a brief explanation that asks students to multiply to find a total and divide to share equally. Use cookies. Add one short hint.
division-multiplication,Generate a real-life classroom problem that asks students to multiply to find a total and divide to share equally. Use birthday candles. Use whole numbers only.
division-multiplication,Write a question that asks students to explain their reasoning where students decide whether multiplication or division is needed in a situation with garden plants. Make the numbers easy to calculate mentally.
division-multiplication,Create a fill-in-the-blank question about animals on a farm that uses both multiplication and division. Make it easy. Use simple vocabulary suitable for elementary students.
division-multiplication,Create a true-or-false question with a brief explanation about fruit baskets that uses both multiplication and division. Make it very easy. Use simple vocabulary suitable for elementary students.
division-multiplication,Create a short word problem about sports balls that uses both multiplication and division. Make it very easy. Use simple vocabulary suitable for elementary students.
division-multiplication,Create a real-life classroom problem about coins that uses both multiplication and division. Make it very easy. Add one short hint.
division-multiplication,Write a two-step problem where equal groups of pencils are formed and then divided. Use simple vocabulary suitable for elementary students.
division-multiplication,Write a simple challenge question where students decide whether multiplication or division is needed in a situation with sports balls. Include the correct answer.
division-multiplication,"Write a short word problem where equal groups of fruit baskets are formed and then divided. Ask for a written answer, not a drawing."
division-multiplication,Create a real-life classroom problem about notebooks that uses both multiplication and division. Make it moderate. Make the numbers easy to calculate mentally.
division-multiplication,Create a real-life classroom problem about toy cars that uses both multiplication and division. Make it easy. Keep the question under 45 words.
division-multiplication,Write a fill-in-the-blank question where students decide whether multiplication or division is needed in a situation with toy cars. Include the correct answer.
division-multiplication,Generate a fill-in-the-blank question that connects a multiplication fact with its related division fact using pencils. Include the correct answer.
division-multiplication,Generate a real-life classroom problem that connects a multiplication fact with its related division fact using stickers. Use simple vocabulary suitable for elementary students.
division-multiplication,Create a fill-in-the-blank question about recycling bins that uses both multiplication and division. Make it very easy. Make the numbers easy to calculate mentally.
division-multiplication,Generate a two-step problem that connects a multiplication fact with its related division fact using fruit baskets. Use simple vocabulary suitable for elementary students.
division-multiplication,Create a real-life classroom problem about arrays or equal groups using coins. Include one multiplication and one division step. Add one short hint.
division-multiplication,Create a simple challenge question about pencils that uses both multiplication and division. Make it easy. Use whole numbers only.
division-multiplication,Create a simple challenge question about marbles that uses both multiplication and division. Make it slightly challenging. Keep the question under 45 words.
division-multiplication,Write a short word problem where students decide whether multiplication or division is needed in a situation with coins. Make the numbers easy to calculate mentally.
division-multiplication,"Write a question that asks students to explain their reasoning where equal groups of fruit baskets are formed and then divided. Ask for a written answer, not a drawing."
division-multiplication,Create a question that asks students to explain their reasoning about colored blocks that uses both multiplication and division. Make it easy. Include the correct answer.
division-multiplication,Write a fill-in-the-blank question where students decide whether multiplication or division is needed in a situation with animals on a farm. Use simple vocabulary suitable for elementary students.
division-multiplication,Create a simple challenge question about books that uses both multiplication and division. Make it very easy. Avoid decimals and negative numbers.
division-multiplication,Create a two-step problem about books that uses both multiplication and division. Make it very easy. Keep the question under 45 words.
division-multiplication,Write a true-or-false question with a brief explanation where equal groups of stickers are formed and then divided. Keep the question under 45 words.
division-multiplication,Create a short word problem about coins that uses both multiplication and division. Make it very easy. Keep the question under 45 words.
division-multiplication,"Create a real-life classroom problem about recycling bins that uses both multiplication and division. Make it moderate. Ask for a written answer, not a drawing."
division-multiplication,Generate a real-life classroom problem that connects a multiplication fact with its related division fact using toy cars. Keep the question under 45 words.
division-multiplication,Generate a fill-in-the-blank question that asks students to multiply to find a total and divide to share equally. Use stickers. Make the numbers easy to calculate mentally.
division-multiplication,Create a short word problem about school supplies that uses both multiplication and division. Make it moderate. Add one short hint.
division-multiplication,Write a true-or-false question with a brief explanation where equal groups of garden plants are formed and then divided. Keep the question under 45 words.
division-multiplication,Create a fill-in-the-blank question about bus passengers that uses both multiplication and division. Make it moderate. Keep the question under 45 words.
division-multiplication,Create a fill-in-the-blank question about school supplies that uses both multiplication and division. Make it moderate. Keep the question under 45 words.
division-multiplication,"Generate a simple challenge question that connects a multiplication fact with its related division fact using cookies. Ask for a written answer, not a drawing."
division-multiplication,Generate a question that asks students to explain their reasoning that asks students to multiply to find a total and divide to share equally. Use colored blocks. Use simple vocabulary suitable for elementary students.
division-multiplication,Generate a real-life classroom problem that connects a multiplication fact with its related division fact using sports balls. Include the correct answer.
division-multiplication,Generate a short word problem that asks students to multiply to find a total and divide to share equally. Use notebooks. Avoid decimals and negative numbers.
division-multiplication,Create a two-step problem about animals on a farm that uses both multiplication and division. Make it moderate. Include the correct answer.
division-multiplication,Create a real-life classroom problem about sports balls that uses both multiplication and division. Make it easy. Include the correct answer.
division-multiplication,Create a short word problem about garden plants that uses both multiplication and division. Make it moderate. Include the correct answer.
division-multiplication,Generate a real-life classroom problem that connects a multiplication fact with its related division fact using stickers. Add one short hint.
division-multiplication,"Generate a two-step problem that connects a multiplication fact with its related division fact using notebooks. Ask for a written answer, not a drawing."
division-multiplication,Create a two-step problem about animals on a farm that uses both multiplication and division. Make it easy. Avoid decimals and negative numbers.
division-multiplication,"Generate a two-step problem that connects a multiplication fact with its related division fact using sports balls. Ask for a written answer, not a drawing."
division-multiplication,Write a short word problem where equal groups of colored blocks are formed and then divided. Use simple vocabulary suitable for elementary students.
division-multiplication,Write a question that asks students to explain their reasoning where equal groups of flowers are formed and then divided. Use whole numbers only.
division-multiplication,Create a fill-in-the-blank question about flowers that uses both multiplication and division. Make it moderate. Include the correct answer.
division-multiplication,Write a short word problem where equal groups of marbles are formed and then divided. Avoid decimals and negative numbers.
division-multiplication,Create a two-step problem about arrays or equal groups using toy cars. Include one multiplication and one division step. Add one short hint.
division-multiplication,Create a simple challenge question about cookies that uses both multiplication and division. Make it moderate. Use whole numbers only.
division-multiplication,Create a multiple-choice question with four options about garden plants that uses both multiplication and division. Make it moderate. Add one short hint.
division-multiplication,Write a two-step problem where equal groups of animals on a farm are formed and then divided. Use whole numbers only.
division-multiplication,"Create a multiple-choice question with four options about arrays or equal groups using coins. Include one multiplication and one division step. Ask for a written answer, not a drawing."
division-multiplication,Generate a true-or-false question with a brief explanation that connects a multiplication fact with its related division fact using notebooks. Use simple vocabulary suitable for elementary students.
division-multiplication,Create a fill-in-the-blank question about classroom chairs that uses both multiplication and division. Make it very easy. Make the numbers easy to calculate mentally.
division-multiplication,Generate a fill-in-the-blank question that asks students to multiply to find a total and divide to share equally. Use sports balls. Make the numbers easy to calculate mentally.
division-multiplication,"Create a two-step problem about arrays or equal groups using stickers. Include one multiplication and one division step. Ask for a written answer, not a drawing."
division-multiplication,"Create a true-or-false question with a brief explanation about pencils that uses both multiplication and division. Make it very easy. Ask for a written answer, not a drawing."
division-multiplication,Generate a multiple-choice question with four options that connects a multiplication fact with its related division fact using recycling bins. Use whole numbers only.
division-multiplication,Write a question that asks students to explain their reasoning where equal groups of marbles are formed and then divided. Keep the question under 45 words.
division-multiplication,Generate a simple challenge question that asks students to multiply to find a total and divide to share equally. Use flowers. Make the numbers easy to calculate mentally.
division-multiplication,Generate a multiple-choice question with four options that asks students to multiply to find a total and divide to share equally. Use flowers. Use whole numbers only.
division-multiplication,Write a short word problem where equal groups of flowers are formed and then divided. Avoid decimals and negative numbers.
division-multiplication,Create a multiple-choice question with four options about arrays or equal groups using stickers. Include one multiplication and one division step. Use whole numbers only.
division-multiplication,Generate a multiple-choice question with four options that asks students to multiply to find a total and divide to share equally. Use books. Use simple vocabulary suitable for elementary students.
division-multiplication,Create a two-step problem about fruit baskets that uses both multiplication and division. Make it moderate. Add one short hint.
division-multiplication,"Generate a real-life classroom problem that asks students to multiply to find a total and divide to share equally. Use garden plants. Ask for a written answer, not a drawing."
division-multiplication,Create a true-or-false question with a brief explanation about birthday candles that uses both multiplication and division. Make it easy. Add one short hint.
division-multiplication,Create a fill-in-the-blank question about arrays or equal groups using notebooks. Include one multiplication and one division step. Add one short hint.
division-multiplication,Create a multiple-choice question with four options about animals on a farm that uses both multiplication and division. Make it slightly challenging. Avoid decimals and negative numbers.
division-multiplication,Create a true-or-false question with a brief explanation about arrays or equal groups using toy cars. Include one multiplication and one division step. Include the correct answer.
division-multiplication,Write a simple challenge question where students decide whether multiplication or division is needed in a situation with birthday candles. Make the numbers easy to calculate mentally.
division-multiplication,Create a true-or-false question with a brief explanation about recycling bins that uses both multiplication and division. Make it very easy. Include the correct answer.
division-multiplication,"Create a simple challenge question about coins that uses both multiplication and division. Make it slightly challenging. Ask for a written answer, not a drawing."
division-multiplication,"Create a short word problem about school supplies that uses both multiplication and division. Make it slightly challenging. Ask for a written answer, not a drawing."
division-multiplication,Write a true-or-false question with a brief explanation where students decide whether multiplication or division is needed in a situation with cookies. Make the numbers easy to calculate mentally.
division-multiplication,Create a short word problem about classroom chairs that uses both multiplication and division. Make it very easy. Include the correct answer.
division-multiplication,Create a multiple-choice question with four options about stickers that uses both multiplication and division. Make it slightly challenging. Add one short hint.
division-multiplication,Write a true-or-false question with a brief explanation where equal groups of water bottles are formed and then divided. Include the correct answer.
division-multiplication,Generate a question that asks students to explain their reasoning that connects a multiplication fact with its related division fact using books. Include the correct answer.
division-multiplication,Create a question that asks students to explain their reasoning about arrays or equal groups using marbles. Include one multiplication and one division step. Include the correct answer.
division-multiplication,Create a fill-in-the-blank question about colored blocks that uses both multiplication and division. Make it easy. Keep the question under 45 words.
division-multiplication,Write a question that asks students to explain their reasoning where students decide whether multiplication or division is needed in a situation with school supplies. Include the correct answer.
division-multiplication,Create a multiple-choice question with four options about books that uses both multiplication and division. Make it moderate. Add one short hint.
division-multiplication,Write a multiple-choice question with four options where equal groups of sports balls are formed and then divided. Keep the question under 45 words.
algebra,Create a real-life classroom problem about finding an unknown number in a simple equation. Use toy cars. Make it moderate. Include the correct answer.
algebra,"Generate a real-life classroom problem that asks students to identify and continue a simple numerical pattern related to toy cars. Ask for a written answer, not a drawing."
algebra,Write a two-step problem where students translate a short situation about classroom chairs into a simple equation. Use whole numbers only.
algebra,Create a simple challenge question using an equation such as x + a = b or x - a = b. Use school supplies. Keep the question under 45 words.
algebra,Write a question that asks students to explain their reasoning with a missing value represented by a box or letter in a situation about books. Make the numbers easy to calculate mentally.
algebra,Write a true-or-false question with a brief explanation with a missing value represented by a box or letter in a situation about pencils. Add one short hint.
algebra,Create a question that asks students to explain their reasoning about finding an unknown number in a simple equation. Use recycling bins. Make it moderate. Make the numbers easy to calculate mentally.
algebra,Write a simple challenge question where students translate a short situation about school supplies into a simple equation. Include the correct answer.
algebra,"Write a question that asks students to explain their reasoning where students translate a short situation about school supplies into a simple equation. Ask for a written answer, not a drawing."
algebra,Generate a short word problem that asks students to identify and continue a simple numerical pattern related to marbles. Keep the question under 45 words.
algebra,Create a true-or-false question with a brief explanation about finding an unknown number in a simple equation. Use stickers. Make it moderate. Make the numbers easy to calculate mentally.
algebra,Create a simple challenge question using an equation such as x + a = b or x - a = b. Use bus passengers. Avoid decimals and negative numbers.
algebra,Create a short word problem about finding an unknown number in a simple equation. Use school supplies. Make it easy. Add one short hint.
algebra,Write a true-or-false question with a brief explanation where students translate a short situation about school supplies into a simple equation. Include the correct answer.
algebra,Create a simple challenge question about finding an unknown number in a simple equation. Use bus passengers. Make it very easy. Add one short hint.
algebra,Generate a multiple-choice question with four options that asks students to check which value makes an equation true. Use flowers. Include the correct answer.
algebra,Generate a question that asks students to explain their reasoning that asks students to check which value makes an equation true. Use pencils. Avoid decimals and negative numbers.
algebra,Create a true-or-false question with a brief explanation about finding an unknown number in a simple equation. Use bus passengers. Make it easy. Make the numbers easy to calculate mentally.
algebra,Create a true-or-false question with a brief explanation about finding an unknown number in a simple equation. Use marbles. Make it slightly challenging. Add one short hint.
algebra,"Write a true-or-false question with a brief explanation with a missing value represented by a box or letter in a situation about birthday candles. Ask for a written answer, not a drawing."
algebra,Create a simple challenge question about finding an unknown number in a simple equation. Use marbles. Make it easy. Avoid decimals and negative numbers.
algebra,Create a multiple-choice question with four options about finding an unknown number in a simple equation. Use classroom chairs. Make it easy. Avoid decimals and negative numbers.
algebra,"Write a simple challenge question with a missing value represented by a box or letter in a situation about books. Ask for a written answer, not a drawing."
algebra,Create a real-life classroom problem about finding an unknown number in a simple equation. Use animals on a farm. Make it very easy. Avoid decimals and negative numbers.
algebra,Write a fill-in-the-blank question where students translate a short situation about stickers into a simple equation. Use whole numbers only.
algebra,Create a two-step problem about finding an unknown number in a simple equation. Use stickers. Make it slightly challenging. Use simple vocabulary suitable for elementary students.
algebra,Create a fill-in-the-blank question using an equation such as x + a = b or x - a = b. Use marbles. Include the correct answer.
algebra,Create a true-or-false question with a brief explanation about finding an unknown number in a simple equation. Use coins. Make it easy. Avoid decimals and negative numbers.
algebra,Write a true-or-false question with a brief explanation where students translate a short situation about notebooks into a simple equation. Keep the question under 45 words.
algebra,Write a real-life classroom problem where students translate a short situation about sports balls into a simple equation. Use whole numbers only.
algebra,"Write a short word problem with a missing value represented by a box or letter in a situation about garden plants. Ask for a written answer, not a drawing."
algebra,Create a true-or-false question with a brief explanation about finding an unknown number in a simple equation. Use colored blocks. Make it very easy. Use simple vocabulary suitable for elementary students.
algebra,Write a real-life classroom problem where students translate a short situation about flowers into a simple equation. Keep the question under 45 words.
algebra,Create a true-or-false question with a brief explanation about finding an unknown number in a simple equation. Use colored blocks. Make it easy. Add one short hint.
algebra,Write a question that asks students to explain their reasoning where students translate a short situation about water bottles into a simple equation. Keep the question under 45 words.
algebra,Generate a two-step problem that asks students to check which value makes an equation true. Use fruit baskets. Avoid decimals and negative numbers.
algebra,Generate a question that asks students to explain their reasoning that asks students to check which value makes an equation true. Use toy cars. Add one short hint.
algebra,Generate a real-life classroom problem that asks students to identify and continue a simple numerical pattern related to pencils. Avoid decimals and negative numbers.
algebra,Create a simple challenge question about finding an unknown number in a simple equation. Use fruit baskets. Make it moderate. Use simple vocabulary suitable for elementary students.
algebra,"Create a fill-in-the-blank question about finding an unknown number in a simple equation. Use books. Make it very easy. Ask for a written answer, not a drawing."
algebra,Create a real-life classroom problem about finding an unknown number in a simple equation. Use school supplies. Make it very easy. Add one short hint.
algebra,Generate a short word problem that asks students to identify and continue a simple numerical pattern related to notebooks. Keep the question under 45 words.
algebra,Generate a two-step problem that asks students to identify and continue a simple numerical pattern related to coins. Make the numbers easy to calculate mentally.
algebra,Create a simple challenge question about finding an unknown number in a simple equation. Use water bottles. Make it moderate. Include the correct answer.
algebra,Generate a real-life classroom problem that asks students to identify and continue a simple numerical pattern related to toy cars. Use simple vocabulary suitable for elementary students.
algebra,Create a question that asks students to explain their reasoning about finding an unknown number in a simple equation. Use garden plants. Make it slightly challenging. Use simple vocabulary suitable for elementary students.
algebra,Generate a short word problem that asks students to check which value makes an equation true. Use school supplies. Make the numbers easy to calculate mentally.
algebra,Create a fill-in-the-blank question about finding an unknown number in a simple equation. Use bus passengers. Make it slightly challenging. Keep the question under 45 words.
algebra,Generate a real-life classroom problem that asks students to identify and continue a simple numerical pattern related to water bottles. Keep the question under 45 words.
algebra,Create a real-life classroom problem about finding an unknown number in a simple equation. Use books. Make it slightly challenging. Include the correct answer.
algebra,Create a question that asks students to explain their reasoning about finding an unknown number in a simple equation. Use colored blocks. Make it very easy. Make the numbers easy to calculate mentally.
algebra,Write a two-step problem with a missing value represented by a box or letter in a situation about pencils. Use simple vocabulary suitable for elementary students.
algebra,"Write a true-or-false question with a brief explanation where students translate a short situation about water bottles into a simple equation. Ask for a written answer, not a drawing."
algebra,Create a question that asks students to explain their reasoning about finding an unknown number in a simple equation. Use toy cars. Make it easy. Make the numbers easy to calculate mentally.
algebra,Write a fill-in-the-blank question where students translate a short situation about garden plants into a simple equation. Include the correct answer.
algebra,Create a fill-in-the-blank question about finding an unknown number in a simple equation. Use sports balls. Make it moderate. Keep the question under 45 words.
algebra,Create a fill-in-the-blank question about finding an unknown number in a simple equation. Use books. Make it easy. Keep the question under 45 words.
algebra,Generate a simple challenge question that asks students to check which value makes an equation true. Use cookies. Make the numbers easy to calculate mentally.
algebra,Create a multiple-choice question with four options using an equation such as x + a = b or x - a = b. Use recycling bins. Avoid decimals and negative numbers.
algebra,Create a true-or-false question with a brief explanation about finding an unknown number in a simple equation. Use flowers. Make it easy. Add one short hint.
algebra,Create a two-step problem about finding an unknown number in a simple equation. Use animals on a farm. Make it very easy. Keep the question under 45 words.
algebra,Create a question that asks students to explain their reasoning using an equation such as x + a = b or x - a = b. Use animals on a farm. Make the numbers easy to calculate mentally.
algebra,Create a short word problem about finding an unknown number in a simple equation. Use flowers. Make it slightly challenging. Include the correct answer.
algebra,Create a simple challenge question about finding an unknown number in a simple equation. Use sports balls. Make it very easy. Use whole numbers only.
algebra,Create a short word problem about finding an unknown number in a simple equation. Use books. Make it slightly challenging. Make the numbers easy to calculate mentally.
algebra,Create a short word problem about finding an unknown number in a simple equation. Use marbles. Make it slightly challenging. Include the correct answer.
algebra,Generate a two-step problem that asks students to identify and continue a simple numerical pattern related to notebooks. Avoid decimals and negative numbers.
algebra,Write a question that asks students to explain their reasoning with a missing value represented by a box or letter in a situation about sports balls. Use whole numbers only.
algebra,Create a short word problem about finding an unknown number in a simple equation. Use pencils. Make it moderate. Keep the question under 45 words.
algebra,Create a true-or-false question with a brief explanation about finding an unknown number in a simple equation. Use flowers. Make it moderate. Make the numbers easy to calculate mentally.
algebra,"Create a two-step problem about finding an unknown number in a simple equation. Use cookies. Make it very easy. Ask for a written answer, not a drawing."
algebra,Create a question that asks students to explain their reasoning about finding an unknown number in a simple equation. Use stickers. Make it slightly challenging. Use simple vocabulary suitable for elementary students.
algebra,Generate a question that asks students to explain their reasoning that asks students to identify and continue a simple numerical pattern related to marbles. Keep the question under 45 words.
algebra,Create a fill-in-the-blank question about finding an unknown number in a simple equation. Use animals on a farm. Make it slightly challenging. Make the numbers easy to calculate mentally.
algebra,Create a simple challenge question about finding an unknown number in a simple equation. Use classroom chairs. Make it slightly challenging. Use whole numbers only.
algebra,Generate a fill-in-the-blank question that asks students to check which value makes an equation true. Use garden plants. Include the correct answer.
algebra,"Write a question that asks students to explain their reasoning with a missing value represented by a box or letter in a situation about colored blocks. Ask for a written answer, not a drawing."
algebra,Create a fill-in-the-blank question about finding an unknown number in a simple equation. Use sports balls. Make it slightly challenging. Avoid decimals and negative numbers.
algebra,Create a short word problem about finding an unknown number in a simple equation. Use notebooks. Make it very easy. Keep the question under 45 words.
algebra,Create a short word problem about finding an unknown number in a simple equation. Use stickers. Make it moderate. Use whole numbers only.
algebra,Write a multiple-choice question with four options with a missing value represented by a box or letter in a situation about colored blocks. Avoid decimals and negative numbers.
algebra,Create a true-or-false question with a brief explanation about finding an unknown number in a simple equation. Use flowers. Make it very easy. Make the numbers easy to calculate mentally.
algebra,Generate a true-or-false question with a brief explanation that asks students to check which value makes an equation true. Use bus passengers. Avoid decimals and negative numbers.
algebra,Generate a short word problem that asks students to check which value makes an equation true. Use animals on a farm. Use simple vocabulary suitable for elementary students.
algebra,Generate a simple challenge question that asks students to identify and continue a simple numerical pattern related to flowers. Include the correct answer.
algebra,Write a real-life classroom problem with a missing value represented by a box or letter in a situation about toy cars. Make the numbers easy to calculate mentally.
algebra,Create a true-or-false question with a brief explanation using an equation such as x + a = b or x - a = b. Use flowers. Use whole numbers only.
algebra,Create a true-or-false question with a brief explanation about finding an unknown number in a simple equation. Use books. Make it slightly challenging. Use whole numbers only.
algebra,Create a real-life classroom problem about finding an unknown number in a simple equation. Use colored blocks. Make it slightly challenging. Make the numbers easy to calculate mentally.
algebra,Create a multiple-choice question with four options about finding an unknown number in a simple equation. Use pencils. Make it very easy. Include the correct answer.
algebra,Create a question that asks students to explain their reasoning using an equation such as x + a = b or x - a = b. Use classroom chairs. Include the correct answer.
algebra,Write a fill-in-the-blank question where students translate a short situation about coins into a simple equation. Avoid decimals and negative numbers.
algebra,Create a simple challenge question about finding an unknown number in a simple equation. Use colored blocks. Make it easy. Include the correct answer.
algebra,Create a simple challenge question using an equation such as x + a = b or x - a = b. Use recycling bins. Add one short hint.
algebra,Write a short word problem where students translate a short situation about school supplies into a simple equation. Include the correct answer.
algebra,Write a multiple-choice question with four options with a missing value represented by a box or letter in a situation about sports balls. Use whole numbers only.
algebra,Create a real-life classroom problem about finding an unknown number in a simple equation. Use flowers. Make it very easy. Make the numbers easy to calculate mentally.
algebra,Write a question that asks students to explain their reasoning with a missing value represented by a box or letter in a situation about colored blocks. Include the correct answer.
algebra,Create a short word problem about finding an unknown number in a simple equation. Use animals on a farm. Make it slightly challenging. Add one short hint.
algebra,Generate a multiple-choice question with four options that asks students to identify and continue a simple numerical pattern related to pencils. Use simple vocabulary suitable for elementary students.
algebra,Create a question that asks students to explain their reasoning about finding an unknown number in a simple equation. Use bus passengers. Make it easy. Use whole numbers only.
algebra,Create a simple challenge question about finding an unknown number in a simple equation. Use marbles. Make it moderate. Make the numbers easy to calculate mentally.
algebra,Write a simple challenge question where students translate a short situation about coins into a simple equation. Make the numbers easy to calculate mentally.
algebra,Create a multiple-choice question with four options using an equation such as x + a = b or x - a = b. Use pencils. Keep the question under 45 words.
algebra,Create a true-or-false question with a brief explanation about finding an unknown number in a simple equation. Use bus passengers. Make it easy. Include the correct answer.
algebra,Create a real-life classroom problem using an equation such as x + a = b or x - a = b. Use cookies. Make the numbers easy to calculate mentally.
algebra,Create a two-step problem about finding an unknown number in a simple equation. Use stickers. Make it easy. Avoid decimals and negative numbers.
algebra,Create a simple challenge question about finding an unknown number in a simple equation. Use water bottles. Make it moderate. Use simple vocabulary suitable for elementary students.
algebra,Create a question that asks students to explain their reasoning about finding an unknown number in a simple equation. Use books. Make it very easy. Use simple vocabulary suitable for elementary students.
algebra,"Write a real-life classroom problem with a missing value represented by a box or letter in a situation about fruit baskets. Ask for a written answer, not a drawing."
algebra,Write a short word problem where students translate a short situation about bus passengers into a simple equation. Use simple vocabulary suitable for elementary students.
algebra,Create a true-or-false question with a brief explanation about finding an unknown number in a simple equation. Use notebooks. Make it very easy. Use simple vocabulary suitable for elementary students.
algebra,Write a question that asks students to explain their reasoning where students translate a short situation about school supplies into a simple equation. Use whole numbers only.
algebra,Create a short word problem about finding an unknown number in a simple equation. Use toy cars. Make it moderate. Make the numbers easy to calculate mentally.
algebra,Create a short word problem about finding an unknown number in a simple equation. Use flowers. Make it very easy. Add one short hint.
algebra,Generate a short word problem that asks students to check which value makes an equation true. Use stickers. Add one short hint.
algebra,"Write a two-step problem where students translate a short situation about marbles into a simple equation. Ask for a written answer, not a drawing."
algebra,Create a question that asks students to explain their reasoning about finding an unknown number in a simple equation. Use bus passengers. Make it moderate. Make the numbers easy to calculate mentally.
algebra,Generate a real-life classroom problem that asks students to check which value makes an equation true. Use garden plants. Add one short hint.
algebra,Create a true-or-false question with a brief explanation about finding an unknown number in a simple equation. Use flowers. Make it very easy. Include the correct answer.
algebra,Write a multiple-choice question with four options with a missing value represented by a box or letter in a situation about toy cars. Include the correct answer.
algebra,Create a real-life classroom problem about finding an unknown number in a simple equation. Use fruit baskets. Make it easy. Make the numbers easy to calculate mentally.
algebra,Create a short word problem about finding an unknown number in a simple equation. Use marbles. Make it easy. Use whole numbers only.
algebra,Create a two-step problem about finding an unknown number in a simple equation. Use notebooks. Make it very easy. Avoid decimals and negative numbers.
algebra,Generate a fill-in-the-blank question that asks students to identify and continue a simple numerical pattern related to animals on a farm. Use simple vocabulary suitable for elementary students.
algebra,Create a real-life classroom problem about finding an unknown number in a simple equation. Use school supplies. Make it slightly challenging. Use simple vocabulary suitable for elementary students.
algebra,"Create a two-step problem about finding an unknown number in a simple equation. Use marbles. Make it moderate. Ask for a written answer, not a drawing."
algebra,Create a true-or-false question with a brief explanation using an equation such as x + a = b or x - a = b. Use stickers. Make the numbers easy to calculate mentally.
algebra,Generate a true-or-false question with a brief explanation that asks students to identify and continue a simple numerical pattern related to colored blocks. Avoid decimals and negative numbers.
algebra,Write a true-or-false question with a brief explanation with a missing value represented by a box or letter in a situation about toy cars. Include the correct answer.
algebra,Write a two-step problem where students translate a short situation about school supplies into a simple equation. Make the numbers easy to calculate mentally.
algebra,Write a true-or-false question with a brief explanation with a missing value represented by a box or letter in a situation about recycling bins. Make the numbers easy to calculate mentally.
algebra,Create a fill-in-the-blank question about finding an unknown number in a simple equation. Use flowers. Make it easy. Use whole numbers only.
algebra,Create a two-step problem about finding an unknown number in a simple equation. Use marbles. Make it very easy. Keep the question under 45 words.
algebra,Create a multiple-choice question with four options about finding an unknown number in a simple equation. Use flowers. Make it moderate. Keep the question under 45 words.
algebra,Create a simple challenge question about finding an unknown number in a simple equation. Use pencils. Make it easy. Add one short hint.
algebra,Create a short word problem about finding an unknown number in a simple equation. Use recycling bins. Make it easy. Avoid decimals and negative numbers.
algebra,Create a multiple-choice question with four options about finding an unknown number in a simple equation. Use toy cars. Make it easy. Make the numbers easy to calculate mentally.
algebra,Write a multiple-choice question with four options where students translate a short situation about marbles into a simple equation. Add one short hint.
algebra,Create a multiple-choice question with four options about finding an unknown number in a simple equation. Use garden plants. Make it easy. Avoid decimals and negative numbers.
algebra,Write a two-step problem with a missing value represented by a box or letter in a situation about recycling bins. Include the correct answer.
algebra,Create a question that asks students to explain their reasoning about finding an unknown number in a simple equation. Use cookies. Make it slightly challenging. Include the correct answer.
algebra,Write a true-or-false question with a brief explanation where students translate a short situation about school supplies into a simple equation. Use simple vocabulary suitable for elementary students.
algebra,Write a true-or-false question with a brief explanation where students translate a short situation about toy cars into a simple equation. Keep the question under 45 words.
algebra,Create a short word problem about finding an unknown number in a simple equation. Use books. Make it easy. Keep the question under 45 words.
algebra,"Create a fill-in-the-blank question using an equation such as x + a = b or x - a = b. Use water bottles. Ask for a written answer, not a drawing."
algebra,Create a multiple-choice question with four options about finding an unknown number in a simple equation. Use stickers. Make it moderate. Avoid decimals and negative numbers.
algebra,"Create a real-life classroom problem about finding an unknown number in a simple equation. Use recycling bins. Make it very easy. Ask for a written answer, not a drawing."
