education_level,skill,prompt
upper-secondary,quadratic functions,Create a real-life word problem for upper secondary students to develop quadratic functions using a context related to projectile motion. Use values appropriate for the educational level.
upper-secondary,probability,Create a two-step problem for upper secondary students to develop probability using a context related to business costs. Make the answer possible using text and numbers only.
upper-secondary,quadratic functions,Create an error-analysis question for upper secondary students to develop quadratic functions using a context related to business costs. Make the answer possible using text and numbers only.
upper-secondary,probability,Create a two-step problem for upper secondary students to develop probability using a context related to data analysis. Use values appropriate for the educational level.
upper-secondary,analytic geometry,Create a two-step problem for upper secondary students to develop analytic geometry using a context related to projectile motion. Include one hint and the final answer.
upper-secondary,trigonometry,Create a short problem for upper secondary students to develop trigonometry using a context related to data analysis. Use clear instructions and avoid unnecessary information.
upper-secondary,trigonometry,Create a two-step problem for upper secondary students to develop trigonometry using a context related to navigation. Make the answer possible using text and numbers only.
upper-secondary,analytic geometry,Create a fill-in-the-blank problem for upper secondary students to develop analytic geometry using a context related to navigation. Keep the wording concise and include an answer key.
upper-secondary,trigonometry,Create a two-step problem for upper secondary students to develop trigonometry using a context related to technology. Ask the student to justify the answer briefly.
upper-secondary,trigonometry,Create a question that requires showing the reasoning for upper secondary students to develop trigonometry using a context related to projectile motion. Use values appropriate for the educational level.
upper-secondary,probability,Create a short problem for upper secondary students to develop probability using a context related to population growth. Ask the student to justify the answer briefly.
upper-secondary,exponential functions,Create a short problem for upper secondary students to develop exponential functions using a context related to architecture. Keep the wording concise and include an answer key.
upper-secondary,analytic geometry,Create a multiple-choice question with four options for upper secondary students to develop analytic geometry using a context related to environmental models. Include the correct answer and a brief solution.
upper-secondary,exponential functions,Create a two-step problem for upper secondary students to develop exponential functions using a context related to navigation. Use values appropriate for the educational level.
upper-secondary,probability,Create a conceptual question for upper secondary students to develop probability using a context related to technology. Include one hint and the final answer.
upper-secondary,systems of equations,Create a two-step problem for upper secondary students to develop systems of equations using a context related to data analysis. Use values appropriate for the educational level.
upper-secondary,probability,Create a real-life word problem for upper secondary students to develop probability using a context related to population growth. Make the answer possible using text and numbers only.
upper-secondary,systems of equations,Create a question that requires showing the reasoning for upper secondary students to develop systems of equations using a context related to business costs. Keep the wording concise and include an answer key.
upper-secondary,analytic geometry,Create a multiple-choice question with four options for upper secondary students to develop analytic geometry using a context related to population growth. Use clear instructions and avoid unnecessary information.
upper-secondary,probability,Create a conceptual question for upper secondary students to develop probability using a context related to environmental models. Use clear instructions and avoid unnecessary information.
upper-secondary,quadratic functions,Create an error-analysis question for upper secondary students to develop quadratic functions using a context related to data analysis. Ask the student to justify the answer briefly.
upper-secondary,quadratic functions,Create a real-life word problem for upper secondary students to develop quadratic functions using a context related to architecture. Include the correct answer and a brief solution.
upper-secondary,quadratic functions,Create a fill-in-the-blank problem for upper secondary students to develop quadratic functions using a context related to population growth. Include one hint and the final answer.
upper-secondary,exponential functions,Create a two-step problem for upper secondary students to develop exponential functions using a context related to environmental models. Use values appropriate for the educational level.
upper-secondary,analytic geometry,Create a conceptual question for upper secondary students to develop analytic geometry using a context related to business costs. Ask the student to justify the answer briefly.
upper-secondary,exponential functions,Create a multiple-choice question with four options for upper secondary students to develop exponential functions using a context related to architecture. Include the correct answer and a brief solution.
upper-secondary,analytic geometry,Create a multiple-choice question with four options for upper secondary students to develop analytic geometry using a context related to data analysis. Include one hint and the final answer.
upper-secondary,trigonometry,Create a fill-in-the-blank problem for upper secondary students to develop trigonometry using a context related to business costs. Use clear instructions and avoid unnecessary information.
upper-secondary,quadratic functions,Create a fill-in-the-blank problem for upper secondary students to develop quadratic functions using a context related to architecture. Use clear instructions and avoid unnecessary information.
upper-secondary,quadratic functions,Create an error-analysis question for upper secondary students to develop quadratic functions using a context related to data analysis. Keep the wording concise and include an answer key.
upper-secondary,systems of equations,Create a question that requires showing the reasoning for upper secondary students to develop systems of equations using a context related to architecture. Use values appropriate for the educational level.
upper-secondary,exponential functions,Create a two-step problem for upper secondary students to develop exponential functions using a context related to navigation. Make the answer possible using text and numbers only.
upper-secondary,analytic geometry,Create a short problem for upper secondary students to develop analytic geometry using a context related to population growth. Connect the task to a realistic situation.
upper-secondary,systems of equations,Create a fill-in-the-blank problem for upper secondary students to develop systems of equations using a context related to projectile motion. Use clear instructions and avoid unnecessary information.
