subject,skill,prompt
arts-and-music,creative expression,Create a two-part question for slightly challenging elementary students to develop creative expression through a painting. Make the expected response possible using text only.
arts-and-music,color and shape recognition,Create a two-part question for slightly challenging elementary students to develop color and shape recognition through musical instruments. Make the instructions direct and easy for a teacher to use.
arts-and-music,sound comparison,Create a two-part question for slightly challenging elementary students to develop sound comparison through a dance. Use a familiar real-life context and add a short hint.
arts-and-music,visual interpretation,Create a true-or-false question with a brief explanation for moderate elementary students to develop visual interpretation through a sculpture. Make the instructions direct and easy for a teacher to use.
arts-and-music,rhythm recognition,Create a question that asks the student to explain their reasoning for easy elementary students to develop rhythm recognition through textures. Use a familiar real-life context and add a short hint.
arts-and-music,rhythm recognition,Create a simple scenario-based question for easy elementary students to develop rhythm recognition through a song. Ask only one main idea and include the correct answer.
arts-and-music,rhythm recognition,Create a simple scenario-based question for slightly challenging elementary students to develop rhythm recognition through warm and cool colors. Use a familiar real-life context and add a short hint.
arts-and-music,visual interpretation,Create a comparison question for slightly challenging elementary students to develop visual interpretation through warm and cool colors. Make the instructions direct and easy for a teacher to use.
arts-and-music,art appreciation,Create a question that asks the student to explain their reasoning for moderate elementary students to develop art appreciation through warm and cool colors. Ask only one main idea and include the correct answer.
arts-and-music,color and shape recognition,Create a fill-in-the-blank question for slightly challenging elementary students to develop color and shape recognition through patterns. Make the instructions direct and easy for a teacher to use.
arts-and-music,creative expression,Create a multiple-choice question with four options for moderate elementary students to develop creative expression through a dance. Avoid technical vocabulary and include a brief answer key.
arts-and-music,sound comparison,Create a multiple-choice question with four options for easy elementary students to develop sound comparison through a song. Make the expected response possible using text only.
arts-and-music,creative expression,Create a short-answer question for moderate elementary students to develop creative expression through warm and cool colors. Use clear vocabulary and include the correct answer.
arts-and-music,sound comparison,Create a fill-in-the-blank question for slightly challenging elementary students to develop sound comparison through a classroom art project. Use age-appropriate language and explain the answer briefly.
arts-and-music,visual interpretation,Create a true-or-false question with a brief explanation for beginner elementary students to develop visual interpretation through a dance. Use a familiar real-life context and add a short hint.
arts-and-music,rhythm recognition,Create a simple scenario-based question for moderate elementary students to develop rhythm recognition through a classroom art project. Make the expected response possible using text only.
arts-and-music,art appreciation,Create a question that asks the student to explain their reasoning for beginner elementary students to develop art appreciation through a sculpture. Use clear vocabulary and include the correct answer.
arts-and-music,sound comparison,Create a multiple-choice question with four options for moderate elementary students to develop sound comparison through rhythm. Use clear vocabulary and include the correct answer.
arts-and-music,creative expression,Create a two-part question for moderate elementary students to develop creative expression through a dance. Use age-appropriate language and explain the answer briefly.
arts-and-music,sound comparison,Create a two-part question for moderate elementary students to develop sound comparison through musical instruments. Use a familiar real-life context and add a short hint.
arts-and-music,color and shape recognition,Create a simple scenario-based question for easy elementary students to develop color and shape recognition through patterns. Use clear vocabulary and include the correct answer.
arts-and-music,sound comparison,Create a question that asks the student to explain their reasoning for moderate elementary students to develop sound comparison through patterns. Avoid technical vocabulary and include a brief answer key.
arts-and-music,art appreciation,Create a short-answer question for beginner elementary students to develop art appreciation through textures. Keep the question under 50 words and provide the answer.
arts-and-music,sound comparison,Create a short-answer question for beginner elementary students to develop sound comparison through a sculpture. Use clear vocabulary and include the correct answer.
arts-and-music,creative expression,Create a comparison question for slightly challenging elementary students to develop creative expression through a song. Make the instructions direct and easy for a teacher to use.
arts-and-music,creative expression,Create a two-part question for beginner elementary students to develop creative expression through textures. Use a familiar real-life context and add a short hint.
arts-and-music,creative expression,Create a fill-in-the-blank question for slightly challenging elementary students to develop creative expression through warm and cool colors. Avoid technical vocabulary and include a brief answer key.
arts-and-music,color and shape recognition,Create a question that asks the student to explain their reasoning for easy elementary students to develop color and shape recognition through patterns. Use a familiar real-life context and add a short hint.
arts-and-music,art appreciation,Create a true-or-false question with a brief explanation for beginner elementary students to develop art appreciation through textures. Make the instructions direct and easy for a teacher to use.
arts-and-music,art appreciation,Create a multiple-choice question with four options for moderate elementary students to develop art appreciation through rhythm. Make the instructions direct and easy for a teacher to use.
arts-and-music,rhythm recognition,Create a short-answer question for beginner elementary students to develop rhythm recognition through warm and cool colors. Use age-appropriate language and explain the answer briefly.
arts-and-music,art appreciation,Create a question that asks the student to explain their reasoning for easy elementary students to develop art appreciation through musical instruments. Ask only one main idea and include the correct answer.
arts-and-music,visual interpretation,Create a question that asks the student to explain their reasoning for easy elementary students to develop visual interpretation through patterns. Use age-appropriate language and explain the answer briefly.
arts-and-music,creative expression,Create a multiple-choice question with four options for moderate elementary students to develop creative expression through a classroom art project. Make the expected response possible using text only.
arts-and-music,sound comparison,Create a two-part question for easy elementary students to develop sound comparison through warm and cool colors. Make the instructions direct and easy for a teacher to use.
arts-and-music,sound comparison,Create a multiple-choice question with four options for slightly challenging elementary students to develop sound comparison through patterns. Use age-appropriate language and explain the answer briefly.
arts-and-music,art appreciation,Create a true-or-false question with a brief explanation for beginner elementary students to develop art appreciation through warm and cool colors. Avoid technical vocabulary and include a brief answer key.
